"Holder Address","Quantity","Used Warden Router","Used TxHash"
"0x41c989266fc233d0a06a3ad41ae00bb98b524814",66,"false", null
"0x12a0d0019c11d7ff7514a6aa93bb763277e7801d",27,"false", null
"0xa728f58018560b13c48c916f1ef53910f9b491c9",24,"true", https://optimistic.etherscan.io/tx/0x4d55c8f3185879d30fc78773d0513c4551f1321c16cb31d012bf13c15bfb15ff
"0x6e89609149c074aa8bab5b5d203369308342b798",23,"false", null
"0x72db34299d4bb489993a49822708ce692cca3eb2",23,"false", null
"0x0064b28742ee529579dba1074f0a1633ac1194b8",20,"true", https://optimistic.etherscan.io/tx/0xe2499773416703899d3d19e6ff256ea2e2ce96a6857ef25aad8e04a14203de7f
"0x153f5a984b2cbeb0f2d1fb3b7ffe125d8101b883",20,"false", null
"0x92fd6d7c69f85c728dd64fab29e6de28f1e9a1c1",20,"false", null
"0xfd26eb1dcc90d194c324922cf5471afec8f97cce",20,"false", null
"0x0ddd9dd9b77d3ba97b2496e3590787def887a95b",17,"false", null
"0x6926fc2a148776bc5e368a6e76a2d91b908ec66c",15,"false", null
"0xfa861ee098c87c78ab96d780c5211d9557869920",15,"false", null
"0x78cb3acb3f84fa6cb46afb38685bda11037aaf7c",14,"false", null
"0x012f658040aa8c96bfa3b4bdd7cb15fc9ec8e4b6",11,"false", null
"0x5c9a81253ca45c872d380a70e68c7dc9be72b83b",11,"false", null
"0xe72ccc734b373dc17eae243dd19b4021c67f73d3",11,"false", null
"0x68de1e5e1dd5093a8ef495b56432179d8ed609ef",10,"true", https://optimistic.etherscan.io/tx/0x3a5261d160ff05eeebc5df814f9f4deadcf55e8896f54dfbaf58aaf802245416
"0x8b018a1def92a14522b507876824f91dc56f431b",10,"false", null
"0xc2bba7c115213d6cefc5e02c9b6528861ce9d05f",10,"false", null
"0xcbcf746a706f8d60f10a177f81d7c5611ee817b5",10,"false", null
"0xd9331d24a83dea470c721770853ad18c3c2e8dc5",10,"false", null
"0xebc790d6420cf02755c05e69b26aa27b1debe250",10,"true", https://optimistic.etherscan.io/tx/0xebfb190a63896ecb6d99a256e6925d7ee45bf7e2540391baa2a30cf9108b7668
"0x2216a2b8c7174bcffe4102696d0e7c7308c89958",9,"false", null
"0xbd299964e7109f7f48d9284db77b58c7b397242a",9,"false", null
"0x55457b923b797ffe6d0d7a116109a4bd699ea9e4",8,"false", null
"0x5d83d2f415a47170e900edba3182b48c0e87cc19",8,"false", null
"0x74559d19f3f628a8bc22ef21f897c6096ffaa3a9",8,"false", null
"0xa75785b05d005532113fd475fb49687041f22013",8,"false", null
"0xd17e3063de5662be19df931f7dc500d720b947d6",8,"false", null
"0x63b18f440fbe3e5673b56fa50ce45231fa8b2b25",7,"false", null
"0x80e59042c59f095508d313cabc12bdd11ad9586f",7,"false", null
"0x8be04fcb170d1c67d6b99853a98353bd2724219a",7,"false", null
"0x9664dafcef3523d23ac5956c1288f2e44d65a61c",7,"false", null
"0x9d83c46a48df01f22f53d680af6e74f421ba9cf9",7,"false", null
"0xd89979b759a1b79753dc1cb833d3c82dac3732eb",7,"false", null
"0xdddb2a15b920e99654f56a8471d1a5c6fa504f74",7,"false", null
"0xe4b205c76b78cf72012d6040c33429dba9bbd19b",7,"false", null
"0x1d884c7d4132bb1d75bfd228ce9447d82527a217",6,"true", https://optimistic.etherscan.io/tx/0x4b819eea42390336dd244c76fa7b7321b93bc979c20d3fc0f29ef4e5ccc6a7d4
"0x4129c6176cfea9091e734214c1bb8511f285f6a4",6,"true", https://optimistic.etherscan.io/tx/0x8e40c8c710496981b397b38b2c2505e89907ddcb78a9419f932b6ced4ef40879
"0x46a966049a49d254a289e02a8b96dc932858b088",6,"false", null
"0x7d5ced6db5f3983d0b0980e95bdbaa1b687c8ff3",6,"false", null
"0xce1f1633b8e207d4df7178c78645be6fa52fd68c",6,"false", null
"0xd6c595f6052ebeec6e649560d03ba13cdae662a1",6,"true", https://optimistic.etherscan.io/tx/0xff1dfe220688cce209d9afa28deb7cbab1de8106648af49ee52cb760cebd5b9e
"0xeed6520db829d18d9087c5a6d26432e02ad65cbe",6,"false", null
"0xff636fe8a09378cd8e7791205cb65b27b6fb635b",6,"false", null
"0x070203fcff1ef26f1094821b31139e534628ae41",5,"false", null
"0x07aa40130ac423a2041ed93f4e9cd3767e4f6413",5,"false", null
"0x490986ebc35e1bc8e198e42ce627a5295cb270f5",5,"false", null
"0x5078c1656e439108a079a39f2782b246ad949c69",5,"false", null
"0x71038fcca1ef043011fa976d550b107dba157780",5,"false", null
"0x784c71ce0099c1542f3ece7ccb20dd05f62ae741",5,"true", https://optimistic.etherscan.io/tx/0xbe9e89cb89e0375e881b435cfb9799ec728524ebdac80bac90db37346905c38e
"0x833a1121d8a49d29e5f50c6c1bc5d315981274ca",5,"false", null
"0x8af4e81a57becb79e007bfcee8953379cdf9babe",5,"false", null
"0x97c9bb984db3136a3daf8e8b94f6162069025e3e",5,"false", null
"0x9ff57f608deb3344f32e0f49beeb69b1a090a56e",5,"false", null
"0xb161fde15ecbc1f3cc22336c7c2859e141d42daa",5,"true", https://optimistic.etherscan.io/tx/0x6d77b2d11c430c8e17dd11364438471638ce74c3d34b66627edc7769f4005a78
"0xb401cc0e452211e57e1cce33da639fd53adb5678",5,"false", null
"0xba86bee601737a53e7255ad403ef46817af93d12",5,"false", null
"0xd9cbefc134f999f7084809f4ef461e8cac560988",5,"false", null
"0xe2483859cbf80734c62eef968da225bcd2be2e88",5,"false", null
"0xf2f3a7860e6baf5706a84ab5a87e465250bdfd5b",5,"true", https://optimistic.etherscan.io/tx/0x37b5a6fa40a9458694b74fa4a85844fa26e785d98f2fac9f54f3215d183d60d9
"0xf578cb0baeb867e3464f57e4eb7359bd4fcba64a",5,"false", null
"0xfbae580db7493f0a6fcbdbb627d5ad0457d58f2e",5,"false", null
"0x12b81870b768624865f864c16ce631561face3e7",4,"false", null
"0x1f27b0482ace1b82cf7a4f0c55dfc2a05dfcfd75",4,"false", null
"0x2a5cc9bc15e951c03235fc7c8e1db86634306b66",4,"false", null
"0x2fbe10d3395bd64b5630497d2fcf878a17ef97df",4,"false", null
"0x3012cd225e4c82dee0a9422435a3666ff0a81b2a",4,"false", null
"0x4e6c6d9be1cd774f971dbc17f61f3870e0d01bfa",4,"false", null
"0x4f39feb5f40e8e4890c24ed0e1ce9c2dcb77e4e2",4,"true", https://optimistic.etherscan.io/tx/0x1e9b9df600d5ac96ab0c234bc3f7c856a4e29a5b0634379e34c24eb74698b7f6
"0x5bcba3ae2af1a4945a3c30b0c4bd574b1eb1e978",4,"true", https://optimistic.etherscan.io/tx/0xa2d7db8b52eb484a6aae499554d418b7af1c04e3d4260a517117297c6aa81b4b
"0x611471bc56a47c85aa4f16b109cb2a2d0be6854d",4,"false", null
"0x6c4355614908f9f0fb19285d5d2b4afaed6579f3",4,"false", null
"0x97e5888847e30bfd8ceba3873e839ad8fae72f89",4,"false", null
"0xad7daa3adb8370d014c92aafa19c47c68c054965",4,"false", null
"0xb53715f3c61be4931843ffe0b61897194c6e4cb9",4,"false", null
"0xb5594d555c7c8de03d9e77e53048b96b41bfaed8",4,"false", null
"0xb86e782103fa6ca36bf2d910fa3c4f5dc5f64feb",4,"false", null
"0xc31bf7f3b185d5766b343e71adee432f4a58da39",4,"false", null
"0xe74f9211016af21ad247973c371f0cfc2f5a7d5b",4,"false", null
"0x02b83b235f20830475879a9fd391764c4c28627b",3,"true", https://optimistic.etherscan.io/tx/0x6848f0966b548ad84f250a65ee073913b5807bb135802a084ff1500cc4894567
"0x05bdd8de3aace83c896796ecbe1342ad43315963",3,"false", null
"0x0898e37e24e089e98db7722a4ca97251d3278469",3,"false", null
"0x0bf14c33f57cd5883652c1c03892401f7ab4c0a8",3,"false", null
"0x0bf1fee0f3dbb4031e4c12e2985df93f267d53ab",3,"false", null
"0x0c580360bb545169b47801f44b47f9c53c67372f",3,"false", null
"0x11d6af24c168a9a131747b50cf478832e258656a",3,"false", null
"0x1f341d0e5306cb2945c1634601e3608973ef9859",3,"false", null
"0x21bf63c0418d4f1d13f884c50498b2259b321b43",3,"true", https://optimistic.etherscan.io/tx/0x33fb36d3b3f95d32f46589267170d0326b6c9eea588b498b9fb920e0334ca5b6
"0x23cf34e2d99b27592e18fbb377b07c2e08d63b0d",3,"true", https://optimistic.etherscan.io/tx/0x9dcf1ba7e0b002f6cb9b63c1083a0a97aced337e093f8476c58a2c0eed4fb0ca
"0x27a52a8b2c8ddbef10e65a95673acfd1bfb78261",3,"false", null
"0x29808e42e3eb41682cfa483e4b973780f809e259",3,"false", null
"0x33eb01b4abdf37d6431d1e226f665da65adb8a0b",3,"false", null
"0x398fdcbc93f91f559ee73348285d280c08eb5420",3,"false", null
"0x4dccc4fcd80ad344201eaa7d816f2e48b48c1281",3,"false", null
"0x510a4cbd16b65ddc32e3392b246eb19005332a80",3,"true", https://optimistic.etherscan.io/tx/0xa0113e0d128ec802b4edd3cb36cadcd030fd93fde9cfec7b32d41a820c530960
"0x59087efe1c2de9a18d58af192b0c7947cdb021f7",3,"false", null
"0x5994d5582992d11048ef76c71702a7920c7476a1",3,"false", null
"0x59cf59705bfbf62bc4a7ef8d08800af803fa5572",3,"true", https://optimistic.etherscan.io/tx/0xe0d5311e80b83e47a0f227b348602dd7696e7042fa2c7c4038be69e120c3665f
"0x5c00b50b57ecd838734dd20e05aee02a663b7e5c",3,"false", null
"0x5e640a840e1b553ee9e851c4ccbec5a57c2df395",3,"false", null
"0x677a76bea99acebd2c9f32066b64f7d129f0d73c",3,"true", https://optimistic.etherscan.io/tx/0x096c832f0bb23b7e9a35bd1d35a746b9d3e5104a9df4ce402b3def0389c12ecf
"0x6fd907c0e7ce18c552700bd2b6172f2363d0a2a2",3,"false", null
"0x7e377463bfff09917648eeb074a7f6b00870c498",3,"false", null
"0x80bcc43e66f1017ebd3afc5be83c312d64a2f590",3,"false", null
"0x843e9a3223663f3966cae21fa4b8dffc995bbe34",3,"false", null
"0x84a9ccfc28b299dc24eed28c68217660498f9954",3,"false", null
"0x87e159926989c24bcb5151196e3e858034db1bc0",3,"false", null
"0x8c4fc5054ec988e65e1df36958ad2d9af9a1a7a7",3,"false", null
"0x8d56326605ac74e11eaacefb7a5a718379fa6c3a",3,"false", null
"0x90b4aaec253515efaa225dc6364f58687813eb5b",3,"false", null
"0x9a521caf497ac901e17c990a3ae1f361c6f580aa",3,"false", null
"0x9d732e1ce920980816b3321573a9e26b935f9070",3,"false", null
"0xa57b927848e94110898c56c5add293378706d638",3,"false", null
"0xb5960421b01b4672f5dc7cc377dff56df44d020b",3,"false", null
"0xbb612c3ecabb30680165b890e2660c345fe23c14",3,"true", https://optimistic.etherscan.io/tx/0x14c5fceca9d242aaa0f1a871cf31311191d978ce93326eb2d22111cc62f1e6a7
"0xbe3c8a78ca5e01acabd55379e7e003b9bd356772",3,"false", null
"0xc72f0c6f0eb226701b39cb61be2c3ece2d9c88f6",3,"false", null
"0xc8dbbd87e722065fbec4caf77d2196d076c77c6b",3,"false", null
"0xcc3b759ba4fc2f73a0fab559714aa0fbc2f6437c",3,"true", https://optimistic.etherscan.io/tx/0x950146b29b28a98f8b31bd96ae943296d8712680d7ed88ab32518673ecd537ce
"0xd0fcd73d14e2e0a04b9cdfe1a9bb81aed9eec886",3,"false", null
"0xd6b33f1c878ee21a88afad9b55489648a6297efd",3,"false", null
"0xd83d6f32d0e7d498d513f4b9ddb029bc0b151612",3,"true", https://optimistic.etherscan.io/tx/0x666fc08d612663c2fc09752520a88e910645da8120e049297b2dd7161d8843bf
"0xde50c7553c0d011b52b7ece4e0718d76c1f44c37",3,"false", null
"0xdf1f84f220429bae2a54d052ecd1262866fe8615",3,"false", null
"0xea33045ff4e33725be02a70158379b76f725204d",3,"false", null
"0xec10351b427015783ebb4fb9f1614c0c6a4b3444",3,"true", https://optimistic.etherscan.io/tx/0xcb75e8286ec7a985e552b9f584039b64146bc2f0426f228ba44643529343cef9
"0xefc5ea7c8d4c4ee4cc5b01ed782493c75939fed9",3,"false", null
"0xf1364b039ca2ea51de2b6aba9ede4cbdd0fd4309",3,"false", null
"0xfb10efe8d84e73061abdfa5f87f26afc1f0a98f5",3,"false", null
"0xfe959248455f69bb71d22549e4464d9322944bd5",3,"false", null
"0x02d197839712d3b6decb9e913ff820bb2b41d337",2,"false", null
"0x0608bc44b1ca03b4e450a09b7224ce173dbf9256",2,"false", null
"0x0a848a3bf714d2e251ffbc5b38dbadbbdbc0770d",2,"false", null
"0x106f7c2ac6aee1063d69ca3ae3c09e9148cb149a",2,"false", null
"0x111d9e5e672835f2315a4c4ae7e63ffb1dc7fd1a",2,"true", https://optimistic.etherscan.io/tx/0xb36754d0e3131921a389853cec7993ed7f41d91bc2a91f8747d90d113e093664
"0x126ba70e6c3cf91ec2fffd51583987d8655503a4",2,"false", null
"0x1a30254019b2dfbc7dd54b651458482b9451e821",2,"true", https://optimistic.etherscan.io/tx/0x1438d1461b292bcf5457fab42a8ff7f8cc3f8bf6ed5cf5ee24b3f781fd625d61
"0x1a9ae93d6aed894f51f59b7e635b65f1dbc37827",2,"false", null
"0x1e6fbf1f64a140b85df3f03b8e9cfa8e0e64de3f",2,"false", null
"0x2202908b38cbca5db4b22de8607c8ff8d7b7b333",2,"false", null
"0x222aa2bd2f79c1dea4d7e5c31d3b077ef056e98f",2,"false", null
"0x23146a7907987ab0bdcebb3a3824072be077ea48",2,"true", https://optimistic.etherscan.io/tx/0xa94bda2fa6f6d69fb57e33e30b0c3c86efcafd99a1b85244857dff52a5f9b187
"0x2711b8bcc1166ea0d10f53ab099f05810554bc6f",2,"false", null
"0x272b3f7d398132d7bf402d8d65f6e50a721e7b00",2,"false", null
"0x2b020631384a802ff4585c3a5b06592d10e51e35",2,"false", null
"0x2cf4f181d22be14b1b600ce3498b61f4a2d1898d",2,"false", null
"0x3045e12b77257e4b005bfbc3db1d1814dfc17207",2,"false", null
"0x3489ea5aab1697def0e126a9d41194daf4329d0c",2,"false", null
"0x38543d68eb70e3f40a56f3bb8e1580c7cee07f74",2,"false", null
"0x3a5d01b7376c44c26ab8cf5935b22a4eeb948e93",2,"true", https://optimistic.etherscan.io/tx/0x8f176ba2f81b32f4193592ed29f5dc3d1b568acd2a2b3e45a169af9832200331
"0x40585eaa146f78c90125651f8e2c5cc4e234cce6",2,"false", null
"0x41aaaab9920b89028f07d843336bdeb02de2f439",2,"false", null
"0x43c21762a1932436e753a1675f1134f57c58e403",2,"false", null
"0x4655d13ed832fe463c80d6bf5abceefef8722b64",2,"false", null
"0x4e35010b431e7f248a859e59980db0b102320e38",2,"false", null
"0x5027c0ae17d088c8b5b05cfd6d359c2f5748af7f",2,"false", null
"0x53a635857526154dd970fafcd48cca250b3c109c",2,"false", null
"0x54bb8be0c7116eba3c0da2f8b8c4f28aad2e381a",2,"false", null
"0x59e7b9be88b69ec43dc0ae9da93a4a27c45f75ee",2,"true", https://optimistic.etherscan.io/tx/0x1f6a11b2a49845e136346024b44be3cc55912dcd744460f2455fd47068882fde
"0x6077c99294acf1867667825e01f3cde9d64987bd",2,"false", null
"0x643436ff58ff84ef8821bb3d00fd9976a52baf0d",2,"false", null
"0x66d04143395256769d19deb6ef0bbb1ac63d5219",2,"false", null
"0x6db4a6f7cf2b9d4e29738cfeeefd82b004db57c6",2,"false", null
"0x6db57c7f16d997562033b08ff38d0f1039290277",2,"true", https://optimistic.etherscan.io/tx/0xa2de394d129e500c63f4ae05aed04421795b92625e953244404183a521032e8c
"0x75d605f15236592702677537f78f1f3940084526",2,"false", null
"0x7ea0517b02e0440393db3a1dcd00dab336fa081c",2,"false", null
"0x7f42e17eedd460abb7fa62bd511c08e1f4dd2d75",2,"false", null
"0x856122539643b9060724d0441113fddc33d5e16d",2,"false", null
"0x85e6a873b58e4a6e4a6db7d0c69f93c871028549",2,"true", https://optimistic.etherscan.io/tx/0xbe75d983c894893d96c985b96d968f6d9b6137dc5d5764e4860f76f8587654d9
"0x98e282de1031c766a1ddac51c0707f41d4806a79",2,"false", null
"0x99e05178d5dc8b635aa93eb2ad63c3cda03cabd3",2,"false", null
"0xa04d19a06fcfbbe65477c8d886ae1277e1c0274c",2,"false", null
"0xa36fee7600d7bfe855a62843d7cb64b079ccee6f",2,"false", null
"0xa839c3a1a77637b56e2733ea61d3e0a07a1708ca",2,"false", null
"0xa8fe4420e9adcc56a630f0a0c802f6e47c02c330",2,"false", null
"0xaa0be926890dfd356e1af472447be4e6b8555dd0",2,"false", null
"0xb191efa190a29dfd9020cf73a2795753b30ec536",2,"false", null
"0xb44b36f57a5f9d91baf1d330121b1394b4704470",2,"false", null
"0xb4c970d6895060a6ba8ddd640ac76a0d590a45b5",2,"false", null
"0xb5c03898d4fcf5d1a9f4e8f11d44d06a4c44bd13",2,"false", null
"0xb67bd4f6f4e95618de9ffd3b337ebcb200638669",2,"false", null
"0xb7d1f29349bd70ba23df0b5be6f50e75c6111259",2,"false", null
"0xc7b7bbce97a74b1ea4b5c3f65328c7d623e45333",2,"false", null
"0xc8312396ba86d1d6da650bec3835817904341991",2,"false", null
"0xce29fc6a70a7c56efb73a30e4df05b19216b6c41",2,"false", null
"0xce8c6dad492532ad9b521c173a6e76e5b9de189e",2,"false", null
"0xd032eb551c237a7099b0aff12701fa7ac13a0573",2,"false", null
"0xd16b2a7d65807114eec78a734a55a95de0cabcb2",2,"false", null
"0xd16fa3afd930a02b72657abc1ccdc8c9c3614bb1",2,"false", null
"0xd2e5b809ba75f478bc5dfad012818b2d118133ed",2,"false", null
"0xd36ede206be882ff103f07add8e06c0db731e6ac",2,"false", null
"0xded7c476aa77ee03e226d1bea68bbd0eb0a7118f",2,"false", null
"0xe562a2e9d575515172ee88100a9fa627a1bd46f8",2,"false", null
"0xe8970e7e0786fbbe3e80368bcc93f14ce3cdcb0f",2,"false", null
"0xf076823122f106c2b7f21cbaacd1c9db1ce4cf27",2,"false", null
"0xfb9af82048ef3b939da4e26f8f23957bd51bea8a",2,"false", null
"0xff4f584166ad206c99d2eb2b48bfe3cbbbe0eb34",2,"true", https://optimistic.etherscan.io/tx/0xcafe5b2dba415fc343851ef54c799a8c6c945304c2e5931bd7a839820e6ec932
"0xffe513fab7a6f3314419ea2a894db2f8f23d9dd7",2,"false", null
"0x0170168b95fe16b03a38b485af06833ca601f7fb",1,"false", null
"0x01ce521afcd23d5656c4aceea68ac6c8119a14d5",1,"false", null
"0x01ee4939c81ee3fc11ff0cd35c411d2650b00064",1,"false", null
